Starting Crane Layout Optimization - FINAL SCENARIO (PSO)
Running Particle Swarm Optimization...
Iteration 144/200, Global Best Fitness: 14225.42
Iteration 145/200, Global Best Fitness: 14225.42
Iteration 146/200, Global Best Fitness: 14224.58
Iteration 147/200, Global Best Fitness: 14224.58
Iteration 148/200, Global Best Fitness: 14223.73
Iteration 149/200, Global Best Fitness: 14223.73
Iteration 150/200, Global Best Fitness: 14223.73
Iteration 151/200, Global Best Fitness: 14223.73
Iteration 152/200, Global Best Fitness: 14217.94
Iteration 153/200, Global Best Fitness: 14217.94
Iteration 154/200, Global Best Fitness: 14217.94
Iteration 155/200, Global Best Fitness: 14204.81
Iteration 156/200, Global Best Fitness: 14204.81
Iteration 157/200, Global Best Fitness: 14204.81
Iteration 158/200, Global Best Fitness: 14204.81
Iteration 159/200, Global Best Fitness: 14204.81
Iteration 160/200, Global Best Fitness: 14204.81
Iteration 161/200, Global Best Fitness: 14204.81
Iteration 162/200, Global Best Fitness: 14204.81
Iteration 163/200, Global Best Fitness: 14204.81
Iteration 164/200, Global Best Fitness: 14202.82
Iteration 165/200, Global Best Fitness: 14200.81
Iteration 166/200, Global Best Fitness: 14199.58
Iteration 167/200, Global Best Fitness: 14199.53
Iteration 168/200, Global Best Fitness: 14199.53
Iteration 169/200, Global Best Fitness: 14199.40
Iteration 170/200, Global Best Fitness: 14199.40
Iteration 171/200, Global Best Fitness: 14199.40
Iteration 172/200, Global Best Fitness: 14196.55
Iteration 173/200, Global Best Fitness: 14196.55
Iteration 174/200, Global Best Fitness: 14196.55
Iteration 175/200, Global Best Fitness: 14196.55
Iteration 176/200, Global Best Fitness: 14196.55
Iteration 177/200, Global Best Fitness: 14196.55
Iteration 178/200, Global Best Fitness: 14196.25
Iteration 179/200, Global Best Fitness: 14194.90
Iteration 180/200, Global Best Fitness: 14194.90
Iteration 181/200, Global Best Fitness: 14194.55
Iteration 182/200, Global Best Fitness: 14194.42
Iteration 183/200, Global Best Fitness: 14193.85
Iteration 184/200, Global Best Fitness: 14193.85
Iteration 185/200, Global Best Fitness: 14193.38
Iteration 186/200, Global Best Fitness: 14192.99
Iteration 187/200, Global Best Fitness: 14192.24
Iteration 188/200, Global Best Fitness: 14191.52
Iteration 189/200, Global Best Fitness: 14190.93
Iteration 190/200, Global Best Fitness: 14190.93
Iteration 191/200, Global Best Fitness: 14190.17
Iteration 192/200, Global Best Fitness: 14190.17
Iteration 193/200, Global Best Fitness: 14189.77
Iteration 194/200, Global Best Fitness: 14189.77
Iteration 195/200, Global Best Fitness: 14188.80
Iteration 196/200, Global Best Fitness: 14187.51
Iteration 197/200, Global Best Fitness: 14187.12
Iteration 198/200, Global Best Fitness: 14187.12
Iteration 199/200, Global Best Fitness: 14187.12
Iteration 200/200, Global Best Fitness: 14187.12
=============================================
OPTIMIZATION FINISHED
=============================================
Algorithm: Particle Swarm Optimization (PSO)
Total Execution Time: 0.80 seconds
Best Objective Function Value (Total Time): 14187.12 seconds
Optimal Crane Positions (x, y) for 8 cranes:
  Crane 1: (200.12, 23.81)
  Crane 2: (66.01, 48.22)
  Crane 3: (155.91, 0.00)
  Crane 4: (250.00, 59.86)
  Crane 5: (121.80, 69.82)
  Crane 6: (172.20, 75.00)
  Crane 7: (0.00, 25.00)
  Crane 8: (0.00, 75.00)
=============================================
Program Ended.
>> 
